date,rbc,platelets,plasma
2024-01-01,16.0,16.0,20.0
2024-01-02,29.0,9.0,12.0
2024-01-03,24.0,5.0,8.0
2024-01-04,20.0,14.0,8.0
2024-01-05,17.0,14.0,22.0
2024-01-06,10.0,3.0,16.0
2024-01-07,18.0,12.0,12.0
2024-01-08,20.0,6.0,24.0
2024-01-09,20.0,18.0,20.0
2024-01-10,13.0,10.0,8.0
2024-01-11,17.0,13.0,9.0
2024-01-12,12.0,12.0,16.0
2024-01-13,7.0,11.0,6.0
2024-01-14,14.0,6.0,5.0
2024-01-15,15.0,5.0,23.0
2024-01-16,11.0,17.0,13.0
2024-01-17,10.0,11.0,24.0
2024-01-18,21.0,19.0,12.0
2024-01-19,21.0,9.0,12.0
2024-01-20,17.0,6.0,8.0
2024-01-21,12.0,11.0,6.0
2024-01-22,25.0,11.0,12.0
2024-01-23,24.0,7.0,12.0
2024-01-24,24.0,16.0,17.0
2024-01-25,28.0,14.0,17.0
2024-01-26,21.0,7.0,24.0
2024-01-27,19.0,6.0,14.0
2024-01-28,8.0,6.0,10.0
2024-01-29,14.0,13.0,21.0
2024-01-30,28.0,17.0,8.0
2024-01-31,16.0,18.0,20.0
2024-02-01,18.0,16.0,20.0
2024-02-02,16.0,9.0,11.0
2024-02-03,18.0,12.0,5.0
2024-02-04,8.0,3.0,16.0
2024-02-05,23.0,18.0,15.0
2024-02-06,27.0,18.0,9.0
2024-02-07,18.0,18.0,15.0
2024-02-08,11.0,8.0,14.0
2024-02-09,29.0,9.0,9.0
2024-02-10,16.0,10.0,6.0
2024-02-11,10.0,9.0,12.0
2024-02-12,21.0,14.0,8.0
2024-02-13,17.0,9.0,19.0
2024-02-14,24.0,11.0,12.0
2024-02-15,12.0,8.0,24.0
2024-02-16,23.0,5.0,23.0
2024-02-17,17.0,12.0,14.0
2024-02-18,8.0,12.0,14.0
2024-02-19,27.0,9.0,12.0
2024-02-20,17.0,11.0,21.0
2024-02-21,13.0,14.0,9.0
2024-02-22,11.0,14.0,18.0
2024-02-23,15.0,10.0,14.0
2024-02-24,12.0,6.0,8.0
2024-02-25,8.0,5.0,6.0
2024-02-26,27.0,6.0,13.0
2024-02-27,21.0,8.0,9.0
2024-02-28,11.0,19.0,22.0
2024-02-29,19.0,14.0,9.0
2024-03-01,13.0,14.0,13.0
2024-03-02,15.0,5.0,5.0
2024-03-03,16.0,9.0,14.0
2024-03-04,24.0,5.0,17.0
2024-03-05,17.0,12.0,24.0
2024-03-06,23.0,9.0,12.0
2024-03-07,17.0,17.0,11.0
2024-03-08,25.0,8.0,17.0
2024-03-09,14.0,8.0,16.0
2024-03-10,18.0,7.0,11.0
2024-03-11,24.0,6.0,24.0
2024-03-12,22.0,5.0,12.0
2024-03-13,18.0,16.0,9.0
2024-03-14,24.0,15.0,13.0
2024-03-15,22.0,8.0,9.0
2024-03-16,6.0,8.0,13.0
2024-03-17,10.0,10.0,12.0
2024-03-18,18.0,6.0,18.0
2024-03-19,10.0,7.0,23.0
2024-03-20,21.0,16.0,18.0
2024-03-21,17.0,5.0,22.0
2024-03-22,20.0,5.0,23.0
2024-03-23,18.0,11.0,12.0
